Date : 2023-12-07 14:34:59
Directory : /Users/macbook/Documents/GitHub/godofdiscipline
Total : 146 files,  5394 codes, 6160 comments, 1211 blanks, all 12765 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         38 |      2,309 |         50 |        147 |      2,506 |
| C++        |         49 |      2,014 |      5,976 |        973 |      8,963 |
| JSON       |         20 |        640 |          0 |          3 |        643 |
| XML        |         27 |        258 |         48 |         29 |        335 |
| Gradle     |          3 |        101 |          5 |         23 |        129 |
| YAML       |          3 |         32 |         79 |         19 |        130 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                   |        146 |      5,394 |      6,160 |      1,211 |     12,765 |
| . (Files)                                                                                                                                                           |          4 |         54 |         79 |         27 |        160 |
| .dart_tool                                                                                                                                                          |         14 |        550 |          7 |          6 |        563 |
| .dart_tool (Files)                                                                                                                                                  |          1 |        470 |          0 |          1 |        471 |
| .dart_tool/build                                                                                                                                                    |         10 |         73 |          2 |          2 |         77 |
| .dart_tool/build/entrypoint                                                                                                                                         |          1 |         64 |          2 |          2 |         68 |
| .dart_tool/build/fcd1995bc647fb959e82ea360c6c2c9a                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated                                                                                                                                          |          8 |          8 |          0 |          0 |          8 |
| .dart_tool/build/generated/godofdiscipline                                                                                                                          |          8 |          8 |          0 |          0 |          8 |
| .dart_tool/build/generated/godofdiscipline/lib                                                                                                                      |          8 |          8 |          0 |          0 |          8 |
| .dart_tool/build/generated/godofdiscipline/lib/router                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens                                                                                                              |          7 |          7 |          0 |          0 |          7 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/create_activity_screen                                                                                       |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/create_activity_screen/view                                                                                  |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/main_screen                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/main_screen/view                                                                                             |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/profile_screen                                                                                               |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/profile_screen/view                                                                                          |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/reg_screen                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/reg_screen/view                                                                                              |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/search_screen                                                                                                |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/search_screen/view                                                                                           |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/settings_screen                                                                                              |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/settings_screen/view                                                                                         |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/stat_screen                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/build/generated/godofdiscipline/lib/screens/stat_screen/view                                                                                             |          1 |          1 |          0 |          0 |          1 |
| .dart_tool/dartpad                                                                                                                                                  |          1 |          1 |          5 |          3 |          9 |
| .dart_tool/flutter_build                                                                                                                                            |          2 |          6 |          0 |          0 |          6 |
| .dart_tool/flutter_build/5cc9838a1bcb84fb27da6622e92c9151                                                                                                           |          2 |          6 |          0 |          0 |          6 |
| android                                                                                                                                                             |         13 |        197 |         51 |         35 |        283 |
| android (Files)                                                                                                                                                     |          4 |         82 |          0 |         13 |         95 |
| android/app                                                                                                                                                         |          8 |        110 |         51 |         21 |        182 |
| android/app (Files)                                                                                                                                                 |          1 |         51 |          5 |         12 |         68 |
| android/app/src                                                                                                                                                     |          7 |         59 |         46 |          9 |        114 |
| android/app/src/debug                                                                                                                                               |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                                                                |          5 |         53 |         38 |          7 |         98 |
| android/app/src/main (Files)                                                                                                                                        |          1 |         27 |          6 |          1 |         34 |
| android/app/src/main/res                                                                                                                                            |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                                                                   |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                                                               |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                                                     |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                                                               |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                                                             |          1 |          3 |          4 |          1 |          8 |
